time_utc,u10_mean,v10_mean,wind10_mps_mean,wind10_mps_min,wind10_mps_max,wind10_mps_p10,wind10_mps_p90,wind10_direction_deg_mean
2025-01-05 03:00:00,-0.45395765,2.5677626,3.397677,0.89589775,9.76539,1.7649249,5.8087792,169.97421
2025-01-05 04:00:00,-0.6630274,2.6489737,3.5238354,1.0308931,8.759258,1.904477,6.032665,165.94781
2025-01-05 05:00:00,-0.8539297,2.788166,3.7086492,1.02719,8.438377,2.0462823,6.3063617,162.97179
2025-01-05 06:00:00,-1.0750707,2.9749732,3.9549656,1.1301891,9.17032,2.2614284,6.4436493,160.13159
2025-01-05 07:00:00,-1.1989461,3.1900556,4.223657,1.2263309,9.456955,2.3056622,6.6308246,159.40186
2025-01-05 08:00:00,-1.3210313,3.4233754,4.548593,1.3595145,10.296556,2.5252204,7.102189,158.89912
2025-01-05 09:00:00,-1.404092,3.5756457,4.809233,1.3948239,11.082847,2.6595228,7.336345,158.56096
2025-01-05 10:00:00,-1.5291641,3.5048728,4.8697515,1.2832386,13.21685,2.5512338,7.4661446,156.42853
2025-01-05 11:00:00,-1.4560914,3.6582997,5.021129,1.2900788,12.68494,2.6138937,7.509557,158.29626
2025-01-05 12:00:00,-1.3031175,3.6809828,5.0693426,0.9506709,13.262564,2.505061,7.384652,160.50536
2025-01-05 13:00:00,-1.2678862,3.6746757,5.1677313,0.7488831,13.941928,2.547153,7.489276,160.96387
2025-01-05 14:00:00,-1.1877586,3.8239112,5.396425,0.7058781,14.3505535,2.475826,7.7889676,162.7445
2025-01-05 15:00:00,-1.1258562,3.879348,5.5479074,0.46240762,14.631453,2.3674781,8.273311,163.81635
2025-01-05 16:00:00,-1.0097524,3.963305,5.6880355,0.37999678,14.837722,2.5050256,9.000287,165.70654
2025-01-05 17:00:00,-0.84410137,4.057985,5.793914,0.8930217,14.907865,2.6258154,9.559279,168.24948
2025-01-05 18:00:00,-0.72418994,4.1129637,5.825637,0.5847547,15.0039215,2.7279587,9.881572,170.014
2025-01-05 19:00:00,-0.5467579,4.2112155,5.8770585,0.42786136,15.37945,2.8534977,10.0232525,172.60246
2025-01-05 20:00:00,-0.3293152,4.2907763,5.8817606,0.57060134,15.526833,2.8655453,9.978059,175.61118
2025-01-05 21:00:00,-0.052361976,4.3860145,5.8701863,0.23264676,15.332017,2.8127272,9.909678,179.31601
2025-01-05 22:00:00,0.09562724,4.3849993,5.6563315,0.3702854,14.835002,2.6398368,9.670463,181.2493
2025-01-05 23:00:00,0.5448786,4.5076327,5.5918875,0.48905385,14.000426,2.5731633,9.35784,186.89243
2025-01-06 00:00:00,0.8836443,4.6198263,5.5643287,0.44845217,13.768788,2.560724,9.139993,190.82831
2025-01-06 01:00:00,1.2214116,4.7654705,5.6620474,0.21945412,13.801693,2.646832,9.365172,194.3757
2025-01-06 02:00:00,1.4610958,4.878746,5.7107444,0.17191638,13.84457,2.5663862,9.341493,196.672
2025-01-06 03:00:00,1.6265056,4.9691715,5.732837,0.32076812,14.45884,2.4835067,8.949581,198.12427
2025-01-06 04:00:00,1.7546016,5.075921,5.7714686,0.38521168,14.859433,2.443329,8.90797,199.06882
2025-01-06 05:00:00,1.7623715,5.2073283,5.798128,0.29076704,14.71674,2.4984453,9.103678,198.6979
2025-01-06 06:00:00,1.7999284,5.3698435,5.890836,0.43215615,15.513322,2.538709,9.13,198.53073
2025-01-06 07:00:00,1.8311397,5.5235643,6.01315,0.26012537,15.68305,2.5750945,9.262609,198.3411
2025-01-06 08:00:00,1.8235239,5.651659,6.122832,0.18785761,14.905579,2.6822684,9.5116005,197.88245
2025-01-06 09:00:00,1.8350075,5.8137593,6.278101,0.60005665,15.489416,2.7482922,9.8138685,197.51736
2025-01-06 10:00:00,1.9321747,5.963094,6.450516,0.04753342,16.303944,2.2718089,10.33425,197.95348
2025-01-06 11:00:00,2.0414264,6.1101418,6.5992956,0.27108714,16.43088,2.032755,10.151953,198.47472
2025-01-06 12:00:00,2.140417,6.280488,6.776075,0.29962033,16.189812,2.0450892,10.456337,198.81934
2025-01-06 13:00:00,2.1872253,6.448204,6.991955,0.18643047,16.414774,2.13127,10.9072275,198.73691
2025-01-06 14:00:00,2.3291512,6.4745593,7.1666713,0.11631073,16.645756,2.2279594,11.143477,199.78564
2025-01-06 15:00:00,2.6118119,6.376141,7.3959846,0.90923834,16.894016,2.403358,11.892657,202.27512
2025-01-06 16:00:00,3.179241,6.176378,7.606395,0.67233104,18.141623,2.56673,12.112816,207.23679
2025-01-06 17:00:00,3.9160788,5.8021674,7.683111,0.70250064,18.712683,2.648309,11.87328,214.01675
2025-01-06 18:00:00,4.467801,5.5708227,7.739171,0.71220434,18.61475,2.7435338,12.151275,218.72963
2025-01-06 19:00:00,4.934801,5.310908,7.7222886,0.38033333,19.45605,2.6949325,13.221792,222.89769
2025-01-06 20:00:00,5.198716,4.9564714,7.5261097,0.3695836,19.37056,2.689706,13.956963,226.36649
2025-01-06 21:00:00,5.1829743,4.697615,7.2184978,0.3200993,18.804693,2.5438175,13.6848755,227.81226
2025-01-06 22:00:00,4.9954085,4.473997,6.9030843,0.31532055,19.72193,2.2823524,13.092563,228.15169
