date,wind10_mps_mean,wind10_mps_min,wind10_mps_max,wind10_mps_p90
2025-10-15,2.505094,0.013629644,11.019912,5.006545
2025-10-16,3.184553,0.04441704,11.62835,7.0382075
2025-10-17,3.3895361,0.01936915,11.875399,7.294417
2025-10-18,2.7344952,0.017168526,12.4596,4.2508416
2025-10-19,3.733681,0.010076579,11.952361,6.3963513
2025-10-20,4.6082826,0.030540857,13.365416,8.429368
2025-10-21,4.8922086,0.030336453,11.989659,8.368347
2025-10-22,3.3407943,0.042449336,11.295057,5.912762
2025-10-23,5.936979,0.10877955,17.581385,8.675424
2025-10-24,7.2368255,0.13484244,19.743208,11.095123
2025-10-25,6.2102547,0.074417405,17.744883,10.332181
2025-10-26,7.1134267,0.109817326,17.944088,10.689263
2025-10-27,6.532728,0.2308644,15.772715,8.755047
2025-10-28,6.3262253,0.409858,15.33692,8.842458
2025-10-29,4.4730144,0.0495493,14.222473,8.325532
2025-10-30,5.18113,0.012813068,18.081314,8.41565
2025-10-31,3.3001568,0.039214466,12.866252,5.7304406
2025-11-01,4.037309,0.048706632,14.329368,7.1039014
2025-11-02,3.3867948,0.015385801,12.95379,5.5697694
2025-11-03,4.679568,0.13700746,14.678578,7.405867
2025-11-04,3.9786975,0.0141248675,13.8912115,7.917476
2025-11-05,3.3586826,0.01929537,11.230284,6.2759137
2025-11-06,2.8168821,0.016355265,8.06141,4.956873
2025-11-07,2.2073686,0.014762467,8.167749,4.020664
2025-11-08,1.504922,0.017507836,5.520044,2.410906
2025-11-09,1.8832613,0.018716123,6.398228,2.9178495
2025-11-10,2.431535,0.014354953,11.089583,4.042497
2025-11-11,3.4735105,0.08082465,13.51802,5.6688614
2025-11-12,4.0371556,0.032025494,13.698591,7.928413
2025-11-13,4.3512597,0.057706606,14.954188,7.985857
2025-11-14,3.2153997,0.06362975,13.810799,5.519592
2025-11-15,3.7988434,0.026217837,13.743106,7.293299
2025-11-16,2.8233702,0.0038640907,12.061598,5.1542625
2025-11-17,4.211719,0.06279838,15.481204,7.4840264
2025-11-18,3.9455693,0.011560494,12.091682,6.882568
2025-11-19,3.9549367,0.005442791,11.736296,5.933613
2025-11-20,3.6222036,0.029951278,12.595755,5.85776
2025-11-21,2.7467916,0.033793475,12.967634,4.539886
2025-11-22,3.355366,0.011102066,15.819472,7.972309
2025-11-23,4.5292516,0.051779833,14.518375,8.979186
2025-11-24,3.6811755,0.052252084,12.819017,6.556847
2025-11-25,2.3755112,0.007885266,11.461824,4.355829
2025-11-26,2.807641,0.0057087042,12.051381,4.3470464
2025-11-27,4.291557,0.022474725,15.425575,8.622598
2025-11-28,4.3027596,0.057656117,15.369171,8.365352
2025-11-29,3.7008507,0.019204875,13.68382,6.895715
2025-11-30,3.940922,0.033050247,17.591633,8.033819
2025-12-01,3.974556,0.0089510325,18.928728,8.36527
2025-12-02,3.8531878,0.0124353515,15.940172,7.333223
2025-12-03,2.4072292,0.040900696,8.269791,4.1710467
2025-12-04,2.7272377,0.014081011,10.2879305,4.9697604
2025-12-05,2.2802017,0.013824101,11.668373,4.448193
2025-12-06,4.3690057,0.012357632,14.081698,7.147621
2025-12-07,4.201812,0.10587152,14.872968,6.2212005
2025-12-08,5.0640645,0.077660546,15.853524,9.12893
2025-12-09,3.8237178,0.003106691,14.311197,6.396152
2025-12-10,4.1786265,0.016628027,14.593146,8.189889
