latitude,longitude,wind10_mps_mean,wind10_mps_min,wind10_mps_max,wind10_mps_p90,u10_mean,v10_mean,wind10_direction_deg_mean
48.5,8.0,2.3386145,0.015590211,8.700105,4.164024,-0.17983514,0.5230376,161.02559
48.5,8.25,2.4103467,0.05960836,8.863595,4.3799853,0.08305949,0.53882873,188.76308
48.5,8.5,2.524133,0.041422382,9.299964,4.6844807,0.3469843,0.5345614,212.98764
48.5,8.75,2.5847163,0.030594729,9.727626,4.656528,0.60464394,0.5226404,229.16061
48.5,9.0,2.5299466,0.060456622,9.354689,4.467015,0.45445266,0.5560877,219.2568
48.5,9.25,2.565635,0.027332956,9.245443,4.4004703,0.26612115,0.5691853,205.05832
48.5,9.5,2.6348455,0.07280554,9.123517,4.5307174,0.30323663,0.40324372,216.94293
48.5,9.75,2.6422675,0.049416095,9.198404,4.5437202,0.36662012,0.26011524,234.64449
48.5,10.0,2.6164224,0.03782612,9.302976,4.4718876,0.46576607,0.09429971,258.55453
48.5,10.25,2.5625563,0.07965759,9.429272,4.417021,0.39396098,0.114484236,253.79625
48.5,10.5,2.5541682,0.02641099,9.538721,4.3402166,0.3540217,0.106672294,253.23163
48.5,10.75,2.5772448,0.018172698,9.563313,4.3305326,0.32717603,0.11400944,250.78833
48.5,11.0,2.57692,0.0602071,9.482002,4.3161716,0.33733684,0.10916843,252.06746
48.5,11.25,2.5719085,0.034338668,9.391024,4.3243804,0.34275186,0.08659524,255.8211
48.5,11.5,2.5535443,0.019130226,9.185973,4.308678,0.3067001,0.06182132,258.60364
48.5,11.75,2.5616097,0.007302522,8.973775,4.2916355,0.2691234,0.05232625,258.99713
48.5,12.0,2.598458,0.03124692,9.149147,4.313049,0.23474105,0.057957206,256.13113
48.5,12.25,2.5835335,0.03474465,9.247686,4.313054,0.27045158,0.046505447,260.24313
48.5,12.5,2.5529168,0.06606989,9.315664,4.2783346,0.29656413,0.0634302,257.92728
48.5,12.75,2.4647408,0.014091225,9.144395,4.1272755,0.3001608,0.12744263,246.99484
48.5,13.0,2.364513,0.0138086565,8.855682,4.052375,0.18437172,0.12563968,235.72762
48.5,13.25,2.3469222,0.035751972,8.647555,4.102887,0.07095792,0.087871015,218.92169
48.5,13.5,2.396001,0.008297891,8.272264,4.279656,0.054418005,-0.18031447,343.20645
48.5,13.75,2.3942413,0.008773432,8.223872,4.321093,0.13877362,-0.33766198,337.65814
48.5,14.0,2.3929057,0.014629869,8.085655,4.285975,0.23238616,-0.54264045,336.81693
48.5,14.25,2.400611,0.023997996,7.8726616,4.2581015,0.18860784,-0.53213346,340.48376
48.5,14.5,2.4720936,0.04068876,7.904065,4.350269,0.18023282,-0.49857998,340.12546
48.5,14.75,2.6806455,0.054609586,8.284029,4.623462,0.25833184,-0.4855159,331.98358
48.5,15.0,2.6909454,0.05001211,8.602962,4.657519,0.45522845,-0.53567153,319.6412
48.75,6.0,3.480059,0.0038640907,12.040655,5.8330293,0.29058602,0.4619796,212.16997
48.75,6.25,3.4091198,0.009262097,11.802548,5.798278,0.26201567,0.45640093,209.85974
48.75,6.5,3.396273,0.011369098,11.879072,5.821712,0.21490291,0.5040113,203.09268
48.75,6.75,3.4688218,0.044570815,12.10105,5.929208,0.14116876,0.63876855,192.46214
48.75,7.0,3.2447648,0.103495635,11.087755,5.494277,0.1889142,0.55275667,198.86876
48.75,7.25,2.9545574,0.03336723,10.120556,5.0011015,0.25548342,0.40241656,212.41037
48.75,7.5,2.586875,0.013186225,9.035688,4.4095206,0.29347226,0.16978152,239.94948
48.75,7.75,2.4570298,0.031596743,8.866616,4.329153,0.15663233,0.20304151,217.64767
48.75,8.0,2.6049626,0.051957063,9.425629,4.566793,-0.081226304,0.39991203,168.51881
48.75,8.25,2.605585,0.00990789,9.259287,4.6581235,0.14479007,0.5191038,195.58502
48.75,8.5,2.6349337,0.050480727,9.184702,4.7595024,0.38185808,0.5619611,214.1965
48.75,8.75,2.6101575,0.065475404,9.244898,4.6301723,0.62903315,0.49903247,231.57388
48.75,9.0,2.4985697,0.021667272,8.96838,4.3895483,0.45300254,0.5067287,221.7959
